Date,Actual,Forecasted
2011-03-21 00:00:00,287.1736145019531,290.7648658689824
2011-03-22 00:00:00,287.5820617675781,290.8211229594142
2011-03-23 00:00:00,289.9930419921875,290.50560922752857
2011-03-24 00:00:00,292.3492126464844,290.5152860091303
2011-03-25 00:00:00,288.7875671386719,289.9824383801296
2011-03-28 00:00:00,286.6057434082031,288.41742338688744
2011-03-29 00:00:00,289.7788391113281,288.22911062350636
2011-03-30 00:00:00,289.8336181640625,287.67212119669017
2011-03-31 00:00:00,292.2844543457031,287.4447500731024
2011-04-01 00:00:00,294.7950439453125,286.6959817531498
2011-04-04 00:00:00,292.74273681640625,284.6463683178962
2011-04-05 00:00:00,283.4824523925781,284.36559564397857
2011-04-06 00:00:00,286.0179443359375,283.7648241261802
2011-04-07 00:00:00,288.91705322265625,283.53547457341006
2011-04-08 00:00:00,288.00048828125,282.8392551574494
2011-04-11 00:00:00,287.6069641113281,281.21992628089964
2011-04-12 00:00:00,284.2395935058594,281.16020708451003
2011-04-13 00:00:00,287.06402587890625,280.8178138394629
2011-04-14 00:00:00,288.1748352050781,280.87062270569135
2011-04-15 00:00:00,264.359130859375,280.48149589351107
2011-04-18 00:00:00,262.4363098144531,279.82314715022784
2011-04-19 00:00:00,259.7912292480469,280.06932250201095
2011-04-20 00:00:00,261.8833923339844,280.0149081711126
2011-04-21 00:00:00,261.569580078125,280.3281190960787
2011-04-25 00:00:00,261.544677734375,279.937095090973
2011-04-26 00:00:00,265.4151611328125,280.2295953145991
2011-04-27 00:00:00,267.8759460449219,280.17027707376246
2011-04-28 00:00:00,267.98052978515625,280.4280529116416
2011-04-29 00:00:00,271.0340881347656,280.162363443087
2011-05-02 00:00:00,268.2744445800781,279.36475426017887
2011-05-03 00:00:00,265.9481506347656,279.4007423758111
2011-05-04 00:00:00,266.8946228027344,279.06408767785007
2011-05-05 00:00:00,266.137451171875,279.029310342779
2011-05-06 00:00:00,266.6505432128906,278.4681461933762
2011-05-09 00:00:00,267.8360900878906,276.8360084514694
2011-05-10 00:00:00,270.3167724609375,276.63353545474826
2011-05-11 00:00:00,266.7252502441406,276.0943127527435
2011-05-12 00:00:00,266.5260009765625,275.89128232506573
2011-05-13 00:00:00,263.7862548828125,275.209498520837
2011-05-16 00:00:00,258.2420349121094,273.48713181188714
